length	point A	point B	point C	B slope	A-B line 3	B-C line 3	Avg line slope
40	b	c	b	y = 465.3145371720023x	y = 586.86637x + -346.45524	y = 528.97035x + -316.6821	557.9183595329087
40	g	b	c	y = 452.5152449231045x	y = 335.22659x + -225.23428	y = 586.86637x + -346.45524	461.0464807929752
40	i	k	j	y = 451.3094216825134x	y = 576.45428x + -326.41354	y = 460.74816x + -284.78453	518.6012205080478
40	k	i	j	y = 452.0862882701679x	y = 509.91395x + -310.12692	y = 646.0094x + -389.58829	577.9616748816851
